"price","area","bedrooms","bathrooms","mainroad","guestroom","hotwaterheating","airconditioning","parking","Location","furnishingstatus","property_type","Facilities"
13300000,7420,4,2,"yes","no","no","yes",2,"Urban","furnished","Terrace","Sports"
12250000,8960,4,4,"yes","no","no","yes",3,"Rural","furnished","Condo","Sports"
12250000,9960,3,2,"yes","no","no","no",2,"Urban","semi-furnished","Condo","Ent.& Gathering"
12215000,7500,4,2,"yes","no","no","yes",3,"Urban","furnished","Terrace","Ent.& Gathering"
11410000,7420,4,1,"yes","yes","no","yes",2,"Rural","furnished","Terrace","Sports"
10850000,7500,3,3,"yes","no","no","yes",2,"Urban","semi-furnished","Terrace","Both"
10150000,8580,4,3,"yes","no","no","yes",2,"Urban","semi-furnished","Condo","Sports"
10150000,16200,5,3,"yes","no","no","no",0,"Rural","unfurnished","Condo","Ent.& Gathering"
9870000,8100,4,1,"yes","yes","no","yes",2,"Urban","furnished","Apartment","Ent.& Gathering"
9800000,5750,3,2,"yes","yes","no","yes",1,"Urban","unfurnished","Condo","Ent.& Gathering"
9800000,13200,3,1,"yes","no","no","yes",2,"Urban","furnished","Condo","Ent.& Gathering"
9681000,6000,4,3,"yes","yes","yes","no",2,"Rural","semi-furnished","Condo","Sports"
9310000,6550,4,2,"yes","no","no","yes",1,"Urban","semi-furnished","Bungalow","None"
9240000,3500,4,2,"yes","no","yes","no",2,"Rural","furnished","Terrace","None"
9240000,7800,3,2,"yes","no","no","no",0,"Urban","semi-furnished","Condo","None"
9100000,6000,4,1,"yes","no","no","no",2,"Rural","semi-furnished","Condo","None"
9100000,6600,4,2,"yes","yes","no","yes",1,"Urban","unfurnished","Condo","Ent.& Gathering"
8960000,8500,3,2,"yes","no","no","yes",2,"Rural","furnished","Bungalow","None"
8890000,4600,3,2,"yes","yes","no","yes",2,"Rural","furnished","Condo","Both"
8855000,6420,3,2,"yes","no","no","yes",1,"Urban","semi-furnished","Terrace","None"
8750000,4320,3,1,"yes","no","yes","no",2,"Rural","semi-furnished","Condo","Ent.& Gathering"
8680000,7155,3,2,"yes","yes","no","yes",2,"Rural","unfurnished","Apartment","Sports"
8645000,8050,3,1,"yes","yes","no","yes",1,"Rural","furnished","Bungalow","Both"
8645000,4560,3,2,"yes","yes","no","yes",1,"Rural","furnished","Terrace","Both"
8575000,8800,3,2,"yes","no","no","yes",2,"Rural","furnished","Terrace","Both"
8540000,6540,4,2,"yes","yes","no","yes",2,"Urban","furnished","Terrace","Ent.& Gathering"
8463000,6000,3,2,"yes","yes","no","yes",0,"Urban","semi-furnished","Terrace","Ent.& Gathering"
8400000,8875,3,1,"yes","no","no","no",1,"Rural","semi-furnished","Condo","None"
8400000,7950,5,2,"yes","no","yes","no",2,"Rural","unfurnished","Apartment","Ent.& Gathering"
8400000,5500,4,2,"yes","no","no","yes",1,"Urban","semi-furnished","Terrace","None"
8400000,7475,3,2,"yes","no","no","yes",2,"Rural","unfurnished","Terrace","Ent.& Gathering"
8400000,7000,3,1,"yes","no","no","yes",2,"Rural","semi-furnished","Terrace","Both"
8295000,4880,4,2,"yes","no","no","yes",1,"Urban","furnished","Apartment","None"
8190000,5960,3,3,"yes","yes","no","no",1,"Rural","unfurnished","Condo","None"
8120000,6840,5,1,"yes","yes","no","yes",1,"Rural","furnished","Terrace","None"
8080940,7000,3,2,"yes","no","no","yes",2,"Rural","furnished","Apartment","None"
8043000,7482,3,2,"yes","no","yes","no",1,"Urban","furnished","Apartment","None"
7980000,9000,4,2,"yes","no","no","yes",2,"Rural","furnished","Condo","Ent.& Gathering"
7962500,6000,3,1,"yes","yes","no","yes",2,"Rural","unfurnished","Condo","None"
7910000,6000,4,2,"yes","no","no","yes",1,"Rural","semi-furnished","Condo","Both"
7875000,6550,3,1,"yes","no","no","yes",0,"Urban","furnished","Condo","None"
7840000,6360,3,2,"yes","no","no","yes",0,"Urban","furnished","Condo","Ent.& Gathering"
7700000,6480,3,2,"yes","no","no","yes",2,"Rural","unfurnished","Condo","None"
7700000,6000,4,2,"yes","no","no","no",2,"Rural","semi-furnished","Condo","Sports"
7560000,6000,4,2,"yes","no","no","yes",1,"Rural","furnished","Terrace","None"
7560000,6000,3,2,"yes","no","no","yes",0,"Rural","semi-furnished","Apartment","None"
7525000,6000,3,2,"yes","no","no","yes",1,"Rural","furnished","Bungalow","None"
7490000,6600,3,1,"yes","no","no","yes",3,"Urban","furnished","Terrace","Ent.& Gathering"
7455000,4300,3,2,"yes","no","no","no",1,"Rural","unfurnished","Condo","None"
7420000,7440,3,2,"yes","yes","no","yes",0,"Urban","semi-furnished","Condo","None"
7420000,7440,3,2,"yes","no","no","no",1,"Urban","unfurnished","Terrace","Both"
7420000,6325,3,1,"yes","no","no","yes",1,"Rural","unfurnished","Bungalow","None"
7350000,6000,4,2,"yes","yes","no","yes",1,"Rural","furnished","Terrace","Sports"
7350000,5150,3,2,"yes","no","no","yes",2,"Rural","semi-furnished","Bungalow","Sports"
7350000,6000,3,2,"yes","yes","no","yes",1,"Rural","semi-furnished","Terrace","None"
7350000,6000,3,1,"yes","no","no","yes",1,"Rural","unfurnished","Condo","Ent.& Gathering"
7343000,11440,4,1,"yes","no","no","no",1,"Urban","semi-furnished","Condo","Sports"
7245000,9000,4,2,"yes","yes","no","yes",1,"Urban","furnished","Condo","None"
7210000,7680,4,2,"yes","yes","no","yes",1,"Rural","semi-furnished","Condo","Ent.& Gathering"
7210000,6000,3,2,"yes","yes","no","yes",1,"Rural","furnished","Terrace","Both"
7140000,6000,3,2,"yes","yes","no","no",1,"Rural","semi-furnished","Condo","Sports"
7070000,8880,2,1,"yes","no","no","yes",1,"Rural","semi-furnished","Terrace","Ent.& Gathering"
7070000,6240,4,2,"yes","no","no","yes",1,"Rural","furnished","Terrace","Ent.& Gathering"
7035000,6360,4,2,"yes","no","no","yes",2,"Urban","furnished","Apartment","Both"
7000000,11175,3,1,"yes","no","no","yes",1,"Urban","furnished","Bungalow","None"
6930000,8880,3,2,"yes","no","no","yes",1,"Rural","furnished","Condo","Both"
6930000,13200,2,1,"yes","no","yes","no",1,"Rural","furnished","Condo","Sports"
6895000,7700,3,2,"yes","no","no","no",2,"Rural","unfurnished","Terrace","Ent.& Gathering"
6860000,6000,3,1,"yes","no","no","yes",1,"Rural","furnished","Terrace","Sports"
6790000,12090,4,2,"yes","no","no","no",2,"Urban","furnished","Terrace","None"
6790000,4000,3,2,"yes","no","no","yes",0,"Urban","semi-furnished","Terrace","Ent.& Gathering"
6755000,6000,4,2,"yes","no","no","yes",0,"Rural","unfurnished","Condo","Ent.& Gathering"
6720000,5020,3,1,"yes","no","no","yes",0,"Urban","unfurnished","Apartment","None"
6685000,6600,2,2,"yes","no","no","no",0,"Urban","furnished","Condo","Ent.& Gathering"
6650000,4040,3,1,"yes","no","yes","no",1,"Rural","furnished","Terrace","Both"
6650000,4260,4,2,"yes","no","yes","no",0,"Rural","semi-furnished","Condo","Sports"
6650000,6420,3,2,"yes","no","no","yes",0,"Urban","furnished","Apartment","Sports"
6650000,6500,3,2,"yes","no","no","yes",0,"Urban","furnished","Terrace","None"
6650000,5700,3,1,"yes","yes","no","yes",2,"Urban","furnished","Condo","Ent.& Gathering"
6650000,6000,3,2,"yes","yes","no","yes",0,"Rural","furnished","Terrace","Sports"
6629000,6000,3,1,"yes","no","yes","no",1,"Urban","semi-furnished","Apartment","Ent.& Gathering"
6615000,4000,3,2,"yes","no","no","yes",1,"Rural","semi-furnished","Condo","Sports"
6615000,10500,3,2,"yes","no","no","yes",1,"Urban","furnished","Terrace","Sports"
6580000,6000,3,2,"yes","no","no","yes",0,"Rural","semi-furnished","Terrace","None"
6510000,3760,3,1,"yes","no","yes","no",2,"Rural","semi-furnished","Condo","Ent.& Gathering"
6510000,8250,3,2,"yes","no","no","yes",0,"Rural","furnished","Condo","Ent.& Gathering"
6510000,6670,3,1,"yes","no","no","no",0,"Urban","unfurnished","Condo","Both"
6475000,3960,3,1,"yes","no","no","no",2,"Rural","semi-furnished","Apartment","None"
6475000,7410,3,1,"yes","yes","no","yes",2,"Urban","unfurnished","Condo","Ent.& Gathering"
6440000,8580,5,3,"yes","no","no","no",2,"Rural","furnished","Terrace","Ent.& Gathering"
6440000,5000,3,1,"yes","no","no","yes",0,"Rural","semi-furnished","Apartment","Both"
6419000,6750,2,1,"yes","yes","no","no",2,"Urban","furnished","Condo","Both"
6405000,4800,3,2,"yes","yes","no","yes",0,"Rural","furnished","Terrace","None"
6300000,7200,3,2,"yes","no","no","yes",3,"Rural","semi-furnished","Condo","Sports"
6300000,6000,4,2,"yes","no","no","no",1,"Rural","semi-furnished","Condo","Ent.& Gathering"
6300000,4100,3,2,"yes","no","no","yes",2,"Rural","semi-furnished","Apartment","None"
6300000,9000,3,1,"yes","no","no","no",1,"Urban","furnished","Terrace","Sports"
6300000,6400,3,1,"yes","yes","no","yes",1,"Urban","semi-furnished","Condo","None"
6293000,6600,3,2,"yes","no","no","yes",0,"Urban","unfurnished","Terrace","Ent.& Gathering"
6265000,6000,4,1,"yes","yes","no","no",0,"Urban","unfurnished","Bungalow","Both"
6230000,6600,3,2,"yes","no","no","yes",0,"Urban","unfurnished","Condo","Both"
6230000,5500,3,1,"yes","no","no","no",1,"Urban","unfurnished","Apartment","Both"
6195000,5500,3,2,"yes","yes","no","yes",1,"Rural","semi-furnished","Terrace","None"
6195000,6350,3,2,"yes","yes","no","yes",0,"Rural","furnished","Condo","None"
6195000,5500,3,2,"yes","yes","no","no",2,"Urban","furnished","Terrace","None"
6160000,4500,3,1,"yes","no","no","yes",0,"Rural","unfurnished","Condo","Sports"
6160000,5450,4,2,"yes","no","no","yes",0,"Urban","semi-furnished","Condo","Ent.& Gathering"
6125000,6420,3,1,"yes","no","no","no",0,"Urban","unfurnished","Apartment","None"
6107500,3240,4,1,"yes","no","no","no",1,"Rural","semi-furnished","Terrace","Sports"
6090000,6615,4,2,"yes","yes","yes","no",1,"Rural","semi-furnished","Terrace","Ent.& Gathering"
6090000,6600,3,1,"yes","yes","no","no",2,"Urban","semi-furnished","Terrace","Both"
6090000,8372,3,1,"yes","no","no","yes",2,"Rural","unfurnished","Apartment","Both"
6083000,4300,6,2,"yes","no","no","no",0,"Rural","furnished","Apartment","Both"
6083000,9620,3,1,"yes","no","no","no",2,"Urban","furnished","Condo","Ent.& Gathering"
6020000,6800,2,1,"yes","yes","no","no",2,"Rural","furnished","Apartment","Both"
6020000,8000,3,1,"yes","yes","no","yes",2,"Urban","semi-furnished","Terrace","Ent.& Gathering"
6020000,6900,3,2,"yes","yes","no","no",0,"Urban","unfurnished","Terrace","Both"
5950000,3700,4,1,"yes","yes","no","yes",0,"Rural","furnished","Terrace","Both"
5950000,6420,3,1,"yes","no","no","yes",0,"Urban","furnished","Terrace","None"
5950000,7020,3,1,"yes","no","no","yes",2,"Urban","semi-furnished","Apartment","Both"
5950000,6540,3,1,"yes","yes","no","no",2,"Urban","furnished","Terrace","None"
5950000,7231,3,1,"yes","yes","no","yes",0,"Urban","semi-furnished","Terrace","Sports"
5950000,6254,4,2,"yes","no","no","no",1,"Urban","semi-furnished","Terrace","Both"
5950000,7320,4,2,"yes","no","no","no",0,"Rural","furnished","Condo","Both"
5950000,6525,3,2,"yes","no","no","no",1,"Rural","furnished","Condo","Both"
5943000,15600,3,1,"yes","no","no","yes",2,"Rural","semi-furnished","Condo","Sports"
5880000,7160,3,1,"yes","no","no","no",2,"Urban","unfurnished","Apartment","None"
5880000,6500,3,2,"yes","no","no","yes",0,"Rural","unfurnished","Terrace","Sports"
5873000,5500,3,1,"yes","yes","no","yes",1,"Rural","furnished","Condo","Ent.& Gathering"
5873000,11460,3,1,"yes","no","no","no",2,"Urban","semi-furnished","Condo","Ent.& Gathering"
5866000,4800,3,1,"yes","yes","no","no",0,"Rural","unfurnished","Bungalow","Sports"
5810000,5828,4,1,"yes","yes","no","no",0,"Rural","semi-furnished","Terrace","Sports"
5810000,5200,3,1,"yes","no","no","yes",0,"Rural","semi-furnished","Condo","None"
5810000,4800,3,1,"yes","no","no","yes",0,"Rural","unfurnished","Condo","Ent.& Gathering"
5803000,7000,3,1,"yes","no","no","no",2,"Urban","semi-furnished","Condo","Sports"
5775000,6000,3,2,"yes","no","no","yes",0,"Rural","unfurnished","Condo","None"
5740000,5400,4,2,"yes","no","no","yes",2,"Rural","unfurnished","Bungalow","Both"
5740000,4640,4,1,"yes","no","no","no",1,"Rural","semi-furnished","Apartment","Both"
5740000,5000,3,1,"yes","no","no","yes",0,"Rural","semi-furnished","Condo","Both"
5740000,6360,3,1,"yes","yes","no","yes",2,"Urban","furnished","Terrace","Ent.& Gathering"
5740000,5800,3,2,"yes","no","no","yes",0,"Rural","unfurnished","Apartment","Ent.& Gathering"
5652500,6660,4,2,"yes","yes","no","no",1,"Urban","semi-furnished","Apartment","None"
5600000,10500,4,2,"yes","no","no","no",1,"Rural","semi-furnished","Terrace","None"
5600000,4800,5,2,"no","no","yes","no",0,"Rural","unfurnished","Terrace","Both"
5600000,4700,4,1,"yes","yes","no","yes",1,"Rural","furnished","Apartment","Sports"
5600000,5000,3,1,"yes","no","no","no",0,"Rural","furnished","Apartment","Both"
5600000,10500,2,1,"yes","no","no","no",1,"Rural","semi-furnished","Condo","Sports"
5600000,5500,3,2,"yes","no","no","no",1,"Rural","semi-furnished","Terrace","Ent.& Gathering"
5600000,6360,3,1,"yes","no","no","no",0,"Urban","semi-furnished","Condo","Ent.& Gathering"
5600000,6600,4,2,"yes","no","no","no",0,"Urban","semi-furnished","Condo","Both"
5600000,5136,3,1,"yes","yes","no","yes",0,"Urban","unfurnished","Apartment","Both"
5565000,4400,4,1,"yes","no","no","yes",2,"Urban","semi-furnished","Apartment","Ent.& Gathering"
5565000,5400,5,1,"yes","yes","no","yes",0,"Urban","furnished","Condo","Both"
5530000,3300,3,3,"yes","no","no","no",0,"Rural","semi-furnished","Apartment","Both"
5530000,3650,3,2,"yes","no","no","no",2,"Rural","semi-furnished","Condo","None"
5530000,6100,3,2,"yes","no","no","no",2,"Urban","furnished","Condo","Ent.& Gathering"
5523000,6900,3,1,"yes","yes","no","no",0,"Urban","semi-furnished","Apartment","None"
5495000,2817,4,2,"no","yes","no","no",1,"Rural","furnished","Terrace","Ent.& Gathering"
5495000,7980,3,1,"yes","no","no","no",2,"Rural","semi-furnished","Terrace","Ent.& Gathering"
5460000,3150,3,2,"yes","yes","no","yes",0,"Rural","furnished","Bungalow","None"
5460000,6210,4,1,"yes","yes","no","yes",0,"Rural","furnished","Bungalow","Both"
5460000,6100,3,1,"yes","yes","no","yes",0,"Urban","semi-furnished","Terrace","None"
5460000,6600,4,2,"yes","yes","no","no",0,"Urban","semi-furnished","Terrace","Ent.& Gathering"
5425000,6825,3,1,"yes","yes","no","yes",0,"Urban","semi-furnished","Apartment","Both"
5390000,6710,3,2,"yes","yes","no","no",1,"Urban","furnished","Condo","Ent.& Gathering"
5383000,6450,3,2,"yes","yes","yes","no",0,"Rural","unfurnished","Bungalow","Ent.& Gathering"
5320000,7800,3,1,"yes","no","no","yes",2,"Urban","unfurnished","Condo","None"
5285000,4600,2,2,"yes","no","no","yes",2,"Rural","semi-furnished","Terrace","None"
5250000,4260,4,1,"yes","no","no","yes",0,"Rural","furnished","Bungalow","Sports"
5250000,6540,4,2,"no","no","no","yes",0,"Rural","semi-furnished","Condo","Sports"
5250000,5500,3,2,"yes","no","no","no",0,"Rural","semi-furnished","Condo","None"
5250000,10269,3,1,"yes","no","no","no",1,"Urban","semi-furnished","Terrace","Sports"
5250000,8400,3,1,"yes","yes","no","yes",2,"Urban","unfurnished","Apartment","None"
5250000,5300,4,2,"yes","no","no","yes",0,"Urban","unfurnished","Apartment","Both"
5250000,3800,3,1,"yes","yes","no","no",1,"Urban","unfurnished","Apartment","None"
5250000,9800,4,2,"yes","yes","no","no",2,"Rural","semi-furnished","Condo","None"
5250000,8520,3,1,"yes","no","no","yes",2,"Rural","furnished","Condo","None"
5243000,6050,3,1,"yes","no","no","no",0,"Urban","semi-furnished","Condo","None"
5229000,7085,3,1,"yes","yes","no","no",2,"Urban","semi-furnished","Bungalow","None"
5215000,3180,3,2,"yes","no","no","no",2,"Rural","semi-furnished","Condo","None"
5215000,4500,4,2,"no","no","no","yes",2,"Rural","semi-furnished","Condo","Ent.& Gathering"
5215000,7200,3,1,"yes","yes","no","no",1,"Urban","furnished","Condo","Sports"
5145000,3410,3,1,"no","no","no","yes",0,"Rural","semi-furnished","Terrace","None"
5145000,7980,3,1,"yes","no","no","no",1,"Urban","semi-furnished","Apartment","Ent.& Gathering"
5110000,3000,3,2,"yes","yes","no","no",0,"Rural","furnished","Terrace","Ent.& Gathering"
5110000,3000,3,1,"yes","no","no","no",0,"Rural","unfurnished","Condo","Both"
5110000,11410,2,1,"yes","no","no","no",0,"Urban","furnished","Bungalow","Both"
5110000,6100,3,1,"yes","no","no","yes",0,"Urban","semi-furnished","Condo","Both"
5075000,5720,2,1,"yes","no","no","yes",0,"Urban","unfurnished","Apartment","Both"
5040000,3540,2,1,"no","yes","no","no",0,"Rural","semi-furnished","Condo","None"
5040000,7600,4,1,"yes","no","no","yes",2,"Rural","furnished","Bungalow","Ent.& Gathering"
5040000,10700,3,1,"yes","yes","no","no",0,"Rural","semi-furnished","Condo","Both"
5040000,6600,3,1,"yes","yes","no","no",0,"Urban","furnished","Condo","Ent.& Gathering"
5033000,4800,2,1,"yes","yes","no","no",0,"Rural","semi-furnished","Terrace","None"
5005000,8150,3,2,"yes","yes","no","no",0,"Rural","semi-furnished","Condo","Ent.& Gathering"
4970000,4410,4,3,"yes","no","no","no",2,"Rural","semi-furnished","Condo","Both"
4970000,7686,3,1,"yes","yes","yes","no",0,"Rural","semi-furnished","Apartment","Sports"
4956000,2800,3,2,"no","no","no","yes",1,"Rural","semi-furnished","Condo","Both"
4935000,5948,3,1,"yes","no","no","yes",0,"Rural","semi-furnished","Condo","None"
4907000,4200,3,1,"yes","no","no","no",1,"Rural","furnished","Condo","Both"
4900000,4520,3,1,"yes","no","no","yes",0,"Rural","semi-furnished","Condo","Sports"
4900000,4095,3,1,"no","yes","no","yes",0,"Rural","semi-furnished","Terrace","Both"
4900000,4120,2,1,"yes","no","no","no",1,"Rural","semi-furnished","Apartment","None"
4900000,5400,4,1,"yes","no","no","no",0,"Rural","semi-furnished","Apartment","None"
4900000,4770,3,1,"yes","yes","no","no",0,"Rural","semi-furnished","Terrace","Ent.& Gathering"
4900000,6300,3,1,"yes","no","no","yes",2,"Rural","semi-furnished","Condo","Ent.& Gathering"
4900000,5800,2,1,"yes","yes","no","yes",0,"Rural","semi-furnished","Apartment","Ent.& Gathering"
4900000,3000,3,1,"yes","no","no","yes",0,"Rural","semi-furnished","Terrace","Ent.& Gathering"
4900000,2970,3,1,"yes","no","no","no",0,"Rural","semi-furnished","Bungalow","Ent.& Gathering"
4900000,6720,3,1,"yes","no","no","no",0,"Rural","unfurnished","Apartment","Sports"
4900000,4646,3,1,"yes","yes","no","no",2,"Rural","semi-furnished","Apartment","Ent.& Gathering"
4900000,12900,3,1,"yes","no","no","no",2,"Rural","furnished","Condo","None"
4893000,3420,4,2,"yes","no","no","yes",2,"Rural","semi-furnished","Terrace","None"
4893000,4995,4,2,"yes","no","no","no",0,"Rural","semi-furnished","Terrace","Sports"
4865000,4350,2,1,"yes","no","no","no",0,"Rural","unfurnished","Apartment","Both"
4830000,4160,3,1,"yes","no","no","no",0,"Rural","unfurnished","Apartment","None"
4830000,6040,3,1,"yes","no","no","no",2,"Urban","semi-furnished","Terrace","Ent.& Gathering"
4830000,6862,3,1,"yes","no","no","yes",2,"Urban","furnished","Terrace","Sports"
4830000,4815,2,1,"yes","no","no","yes",0,"Urban","semi-furnished","Bungalow","Ent.& Gathering"
4795000,7000,3,1,"yes","no","no","no",0,"Rural","unfurnished","Apartment","Both"
4795000,8100,4,1,"yes","no","no","yes",2,"Rural","semi-furnished","Terrace","None"
4767000,3420,4,2,"yes","no","no","no",0,"Rural","semi-furnished","Terrace","Ent.& Gathering"
4760000,9166,2,1,"yes","no","no","yes",2,"Rural","semi-furnished","Apartment","Ent.& Gathering"
4760000,6321,3,1,"yes","no","no","yes",1,"Rural","furnished","Apartment","Both"
4760000,10240,2,1,"yes","no","no","yes",2,"Urban","unfurnished","Condo","Ent.& Gathering"
4753000,6440,2,1,"yes","no","no","yes",3,"Rural","semi-furnished","Terrace","Both"
4690000,5170,3,1,"yes","no","no","yes",0,"Rural","semi-furnished","Terrace","None"
4690000,6000,2,1,"yes","no","no","yes",1,"Rural","furnished","Condo","None"
4690000,3630,3,1,"yes","no","no","no",2,"Rural","semi-furnished","Condo","Ent.& Gathering"
4690000,9667,4,2,"yes","yes","no","no",1,"Rural","semi-furnished","Terrace","None"
4690000,5400,2,1,"yes","no","no","no",0,"Urban","semi-furnished","Terrace","Both"
4690000,4320,3,1,"yes","no","no","no",0,"Urban","semi-furnished","Condo","Both"
4655000,3745,3,1,"yes","no","no","no",0,"Rural","furnished","Condo","None"
4620000,4160,3,1,"yes","yes","no","yes",0,"Rural","unfurnished","Bungalow","Both"
4620000,3880,3,2,"yes","no","no","no",2,"Rural","semi-furnished","Terrace","Both"
4620000,5680,3,1,"yes","yes","no","yes",1,"Rural","semi-furnished","Apartment","Sports"
4620000,2870,2,1,"yes","yes","no","no",0,"Urban","semi-furnished","Terrace","Both"
4620000,5010,3,1,"yes","no","no","no",0,"Rural","semi-furnished","Terrace","None"
4613000,4510,4,2,"yes","no","no","no",0,"Rural","semi-furnished","Apartment","Sports"
4585000,4000,3,1,"yes","no","no","no",1,"Rural","furnished","Condo","Both"
4585000,3840,3,1,"yes","no","no","no",1,"Urban","semi-furnished","Condo","Ent.& Gathering"
4550000,3760,3,1,"yes","no","no","no",2,"Rural","semi-furnished","Condo","None"
4550000,3640,3,1,"yes","no","no","yes",0,"Rural","furnished","Condo","None"
4550000,2550,3,1,"yes","no","no","no",0,"Rural","furnished","Condo","Both"
4550000,5320,3,1,"yes","yes","no","no",0,"Urban","semi-furnished","Condo","Sports"
4550000,5360,3,1,"yes","no","no","no",2,"Urban","unfurnished","Condo","None"
4550000,3520,3,1,"yes","no","no","no",0,"Urban","semi-furnished","Apartment","None"
4550000,8400,4,1,"yes","no","no","no",3,"Rural","unfurnished","Terrace","None"
4543000,4100,2,2,"yes","yes","no","no",0,"Rural","semi-furnished","Apartment","Both"
4543000,4990,4,2,"yes","yes","no","no",0,"Urban","furnished","Terrace","Ent.& Gathering"
4515000,3510,3,1,"yes","no","no","no",0,"Rural","semi-furnished","Terrace","None"
4515000,3450,3,1,"yes","no","no","no",1,"Rural","semi-furnished","Bungalow","Sports"
4515000,9860,3,1,"yes","no","no","no",0,"Rural","semi-furnished","Bungalow","Sports"
4515000,3520,2,1,"yes","no","no","no",0,"Urban","furnished","Apartment","Ent.& Gathering"
4480000,4510,4,1,"yes","no","no","yes",2,"Rural","semi-furnished","Condo","Both"
4480000,5885,2,1,"yes","no","no","yes",1,"Rural","unfurnished","Condo","Sports"
4480000,4000,3,1,"yes","no","no","no",2,"Rural","furnished","Condo","None"
4480000,8250,3,1,"yes","no","no","no",0,"Rural","furnished","Apartment","Sports"
4480000,4040,3,1,"yes","no","no","no",1,"Rural","semi-furnished","Terrace","Both"
4473000,6360,2,1,"yes","no","no","yes",1,"Rural","furnished","Condo","Ent.& Gathering"
4473000,3162,3,1,"yes","no","no","yes",1,"Rural","furnished","Apartment","None"
4473000,3510,3,1,"yes","no","no","no",0,"Rural","semi-furnished","Condo","Sports"
4445000,3750,2,1,"yes","yes","no","no",0,"Rural","semi-furnished","Condo","Both"
4410000,3968,3,1,"no","no","no","no",0,"Rural","semi-furnished","Condo","Ent.& Gathering"
4410000,4900,2,1,"yes","no","no","no",0,"Rural","semi-furnished","Condo","Both"
4403000,2880,3,1,"yes","no","no","no",0,"Urban","semi-furnished","Terrace","None"
4403000,4880,3,1,"yes","no","no","no",2,"Urban","unfurnished","Terrace","None"
4403000,4920,3,1,"yes","no","no","no",1,"Rural","semi-furnished","Condo","Sports"
4382000,4950,4,1,"yes","no","no","yes",0,"Rural","semi-furnished","Terrace","Ent.& Gathering"
